Top Celebrity: 3D Fashion Game,Adventure,46M,1.0.2,21 November 2013,com.skyboard.google.topCelebrity,Top Celebrity: 3D Fashion Game,Adventure,46M,1.0.2,November 21, 2013,http://dl3.apk-dl.com/root/apk/2015/10/29/com.skyboard.google.topCelebrity_14.apk?f=Top Celebrity: 3D Fashion Game_1.0.2_apk-dl.com.apk,
Landlord 3D: Survival Island,Adventure,24M,1.2,21 May 2015,com.przemczechu.landlord,LandLord 3D: Survival Island,Adventure,24M,1.2,May 21, 2015,http://dl3.apk-dl.com/store/download?id=com.przemczechu.landlord,
Cops Vs Robber Survival Gun 3D,Adventure,48M,D1,18 January 2016,com.cbgs.blockguncraft,Cops Vs Robber Survival Gun 3D,Simulation,48M,D1,January 18, 2016,http://dl3.apk-dl.com/store/download?id=com.cbgs.blockguncraft,
Jungle Dino Hunting 3D,Action,56M,1.1,28 January 2016,com.tapinator.jungle.dino.hunting3d,Jungle Dino Hunting 3D,Action,56M,1.1,January 28, 2016,http://dl3.apk-dl.com/store/download?id=com.tapinator.jungle.dino.hunting3d,
3D Maze / Labyrinth,Adventure,32M,2.6,15 March 2016,com.mobadu.Maze,3D Maze / Labyrinth,Adventure,32M,2.6,March 15, 2016,http://dl3.apk-dl.com/root/apk/2016/3/16/com.mobadu.Maze_17.apk?f=3D Maze / Labyrinth_2.6_apk-dl.com.apk,
Paper Monsters 3d platformer,Adventure,85M,1,12 January 2014,com.crescentmoongames.pmfree,Paper Monsters 3d platformer,Adventure,85M,1,January 12, 2014,http://dl3.apk-dl.com/store/download?id=com.crescentmoongames.pmfree,
Poseidon's Pirates 3D,Adventure,101M,2.92,8 December 2015,com.kingnet.hse,Poseidon's Pirates 3D,Adventure,101M,2.92,December 8, 2015,http://dl3.apk-dl.com/store/download?id=com.kingnet.hse,
Ocean Run 3D,Adventure,28M,1.0.0.1631,25 November 2014,com.mando.ocean,Ocean Run 3D,Adventure,28M,1.0.0.1631,November 25, 2014,http://dl3.apk-dl.com/store/download?id=com.mando.ocean,
Zombie Roadkill 3D,Arcade,17M,1.0.6,21 June 2016,com.wordsmobile.zombieroadkill,Zombie Roadkill 3D,Arcade,17M,1.0.6,June 21, 2016,http://dl3.apk-dl.com/root/apk/2016/6/25/com.wordsmobile.zombieroadkill_17106.apk?f=Zombie Roadkill 3D_1.0.6_apk-dl.com.apk,
SpeedX 3D,Arcade,8.2M,1.96,1 April 2015,com.gamelion.speedx3d,SpeedX 3D,Arcade,8.2M,1.96,April 1, 2015,http://dl3.apk-dl.com/root/apk/2015/11/14/com.gamelion.speedx3d_21.apk?f=SpeedX 3D_1.96_apk-dl.com.apk,
Wild Hunter 3D,Arcade,20M,1.0.6,23 May 2016,com.julian.wildhunter,Wild Hunter 3D,Arcade,20M,1.0.6,May 23, 2016,http://dl3.apk-dl.com/root/apk/2016/5/23/com.julian.wildhunter_7.apk?f=Wild Hunter 3D_1.0.6_apk-dl.com.apk,
Tank Recon 3D (Lite),Arcade,Varies with device,Varies with device,23 December 2014,com.lonedwarfgames.tanks.android,Tank Recon 3D (Lite),Arcade,Undefined,2.14.61,December 23, 2014,http://dl3.apk-dl.com/store/download?id=com.lonedwarfgames.tanks.android,
aTilt 3D Labyrinth Free,Arcade,4.8M,1.7.2,28 February 2016,com.fridgecat.android.atiltlite,aTilt 3D Labyrinth Free,Arcade,4.8M,1.7.2,February 28, 2016,http://dl3.apk-dl.com/root/apk/2016/3/2/com.fridgecat.android.atiltlite_72.apk?f=aTilt 3D Labyrinth Free_1.7.2_apk-dl.com.apk,
3D Rollercoaster Rush NewYork,Arcade,38M,1.6.10,18 June 2015,com.digitalchocolate.rollnyfullpa,3D Rollercoaster Rush NewYork,Arcade,38M,1.6.10,June 18, 2015,http://dl3.apk-dl.com/store/download?id=com.digitalchocolate.rollnyfullpa,
